area,floors,slab_thickness,beam_density_factor,column_density_factor,soil_type,sbc_value,seismic_zone,concrete_grade,steel_grade,cement_price_index,steel_price_index,sand_rate,aggregate_rate,labor_rate,location_multiplier,steel_factor,wastage_factor,design_efficiency_factor,contractor_efficiency_score,concrete_volume,steel_quantity,cement_bags,total_cost,cost_per_sqm
357.62,3,0.172,0.949,0.88,2,185.07,2,25,415,376.31,46.31,57.33,46.48,781.69,1.072,117.37,1.035,0.951,0.906,234.16,27484.125,2598.03,3481991.06,9736.59
237.81,5,0.157,0.991,0.956,3,248.03,4,20,415,367.55,66.75,70.67,33.28,757.68,1.019,131.52,1.062,0.92,0.968,253.612,33355.027,2046.43,3762688.97,15822.06
331.11,3,0.125,0.934,0.968,2,206.93,5,25,500,350.97,66.2,70.11,44.39,596.87,0.925,114.86,1.064,0.948,1.107,162.607,18115.996,1804.14,2581695.0,7797.17
458.04,2,0.142,0.903,0.999,1,114.47,5,25,415,327.96,45.88,46.48,47.99,585.87,0.998,134.98,1.057,1.059,0.969,151.439,20441.548,1680.23,2455771.48,5361.52
80.65,5,0.161,1.291,0.949,4,201.76,3,30,415,375.05,52.04,44.17,50.2,822.02,1.01,127.14,1.032,0.958,0.961,84.314,10719.532,1151.35,1431906.39,17754.1
402.44,4,0.185,1.2,1.166,4,285.45,4,20,500,356.81,74.83,54.47,48.65,697.3,1.117,138.66,1.072,1.093,0.988,354.156,47634.859,2857.75,5758205.37,14308.38
107.95,3,0.124,1.006,0.912,3,192.91,4,25,500,383.33,51.58,52.45,37.96,651.6,1.138,107.97,1.033,1.084,0.893,44.925,4704.805,498.44,681030.46,6308.97
259.51,3,0.113,1.141,1.161,2,161.24,2,25,415,301.72,55.55,62.84,42.29,769.78,1.181,93.27,1.045,1.074,1.064,103.306,9635.874,1146.2,1530843.68,5898.9
123.83,1,0.187,0.88,0.906,4,215.84,4,20,500,378.32,58.54,41.52,45.89,629.47,1.137,132.35,1.049,1.016,0.966,27.722,3558.982,223.69,401909.18,3245.53
402.09,5,0.195,0.853,1.282,3,229.3,2,25,415,318.73,45.7,44.05,37.44,699.86,1.156,119.54,1.045,0.997,0.917,488.799,58429.521,5423.28,6594531.7,16400.67
66.72,3,0.105,0.863,1.061,2,155.21,4,20,415,366.77,75.18,53.68,39.09,550.02,1.115,119.61,1.07,0.918,1.075,28.766,3440.625,232.12,476133.08,7135.88
365.51,5,0.196,0.939,1.001,2,145.91,2,25,415,300.55,72.72,70.4,43.28,754.12,1.26,133.91,1.045,0.986,1.07,446.148,59743.991,4950.06,7684514.11,21023.94
230.68,2,0.174,1.189,1.0,1,130.2,4,20,415,399.65,58.52,77.43,37.1,585.33,1.256,101.82,1.077,1.03,0.938,100.726,10255.91,812.78,1224945.08,5310.16
169.27,1,0.192,0.976,1.071,1,145.02,3,20,415,357.56,38.32,54.76,53.36,580.81,0.934,83.74,1.06,1.033,1.062,39.518,3309.26,318.88,374863.05,2214.55
482.21,1,0.102,1.07,1.152,3,186.96,2,20,415,330.65,61.03,49.77,35.61,734.98,1.288,113.77,1.079,0.978,1.115,65.368,7436.752,527.46,1122325.76,2327.47
181.43,4,0.194,1.202,0.931,4,272.2,2,25,415,334.64,65.82,52.29,34.06,761.21,1.171,106.75,1.068,0.931,1.104,193.083,20612.438,2142.27,2635405.27,14525.92
145.27,5,0.118,1.282,1.174,1,127.72,2,25,415,397.64,55.95,44.09,43.05,793.81,1.265,122.72,1.047,0.995,1.041,110.368,13543.885,1224.55,2112442.59,14541.84
244.16,4,0.108,1.283,0.938,4,240.38,5,25,415,428.64,72.34,64.52,51.62,776.06,0.987,108.89,1.05,1.05,0.979,126.805,13808.37,1406.92,2557696.93,10475.54
186.01,4,0.186,1.028,1.155,4,235.95,2,20,500,354.68,66.48,52.72,40.65,612.06,0.983,105.05,1.038,1.04,1.145,165.178,16831.386,1332.85,1859972.66,9999.3
377.51,3,0.18,0.878,0.826,2,143.1,5,25,415,472.7,53.13,54.78,29.74,762.46,1.117,100.76,1.063,0.937,1.107,266.184,26820.188,2953.34,4214041.6,11162.61
63.57,1,0.145,1.244,1.049,3,193.26,5,20,500,387.72,41.17,47.44,36.76,522.47,1.268,109.93,1.039,0.92,1.05,12.563,1339.567,101.37,129310.62,2034.09
361.43,3,0.185,1.058,0.907,1,152.76,4,20,415,347.17,74.26,46.86,48.5,678.78,1.061,123.38,1.057,0.963,1.075,259.097,31966.359,2090.7,3948250.72,10924.08
239.95,2,0.188,1.016,1.192,4,210.22,4,25,415,333.68,48.15,35.08,36.55,678.44,1.022,131.47,1.072,0.985,0.903,117.758,15481.706,1306.54,1585818.81,6608.97
402.77,1,0.101,1.151,0.825,3,255.83,5,25,500,403.89,58.7,45.56,51.12,674.88,1.074,119.41,1.045,1.094,0.925,45.854,5311.036,508.76,834088.49,2070.87
200.25,2,0.106,1.189,1.039,2,139.67,2,25,415,405.88,61.62,63.7,48.49,607.69,1.167,108.74,1.036,0.999,0.971,52.979,5760.778,587.81,974524.75,4866.45
58.16,4,0.159,0.815,1.272,1,121.72,3,30,415,444.5,67.19,59.5,48.22,718.15,1.165,114.08,1.041,0.932,0.941,48.735,5559.657,665.5,1032478.83,17752.26
393.47,5,0.104,1.074,1.066,4,260.63,5,20,500,352.1,68.23,76.6,43.24,625.79,1.277,114.66,1.031,1.042,1.09,241.869,26899.783,1951.68,4150585.8,10548.54
109.64,2,0.164,1.151,0.954,2,205.41,2,20,500,371.87,57.13,63.69,37.22,651.48,0.964,106.77,1.063,1.087,1.064,41.903,4339.809,338.12,501734.1,4576.1
265.0,4,0.134,0.86,1.208,4,214.36,5,25,415,385.83,54.78,61.9,45.74,687.52,1.141,125.53,1.046,0.926,0.967,190.451,23906.515,2113.07,3241450.94,12231.92
424.85,5,0.15,1.122,1.159,3,174.11,5,20,415,424.2,54.81,46.17,44.07,660.27,0.926,152.87,1.078,0.98,0.926,423.019,64667.809,3413.41,6898332.54,16237.18
466.25,1,0.192,0.907,0.801,4,262.84,4,30,415,310.49,55.37,63.28,49.77,842.02,1.037,114.92,1.031,1.023,1.15,104.032,11955.583,1420.61,1712992.09,3674.0
160.7,2,0.174,0.864,0.815,4,229.27,3,25,500,337.74,72.52,47.89,53.59,777.19,1.03,96.06,1.048,1.089,0.904,62.081,5784.724,688.79,850796.99,5294.19
427.17,1,0.136,1.147,0.87,1,138.67,4,25,415,313.61,50.08,56.87,36.44,605.82,1.285,124.76,1.035,0.98,1.104,72.601,9057.643,805.51,1195717.81,2799.13
399.25,1,0.19,0.85,0.98,2,203.85,5,20,415,357.65,47.42,57.73,52.16,631.92,1.294,90.27,1.039,0.931,1.022,98.607,8900.831,795.68,1173273.67,2938.7
465.6,5,0.148,0.842,0.932,2,136.92,4,30,415,346.48,60.59,57.52,35.8,696.86,1.034,143.91,1.065,1.019,0.971,417.654,60106.496,5703.28,8584898.46,18438.17
416.82,5,0.138,1.154,0.834,2,206.0,5,20,500,358.12,67.74,69.5,39.83,633.33,1.3,143.82,1.06,1.065,0.943,338.599,47236.772,2732.21,6228958.42,14944.05
90.27,5,0.194,1.28,0.993,1,102.26,3,30,415,392.93,45.87,47.96,44.56,529.4,0.956,134.93,1.038,0.959,0.911,114.397,15435.784,1562.15,1770003.78,19607.27
474.97,4,0.102,1.094,0.852,3,249.88,3,20,415,307.98,68.83,63.18,42.86,641.04,0.962,116.19,1.043,1.069,0.894,222.845,25891.221,1798.17,3482252.09,7331.48
61.12,5,0.155,0.908,1.152,1,158.54,5,20,500,429.3,71.37,46.44,48.87,792.97,0.916,145.04,1.065,0.967,1.147,61.693,8679.604,497.81,1011876.37,16556.29
204.6,4,0.194,1.299,1.102,3,226.75,4,25,415,380.06,67.62,41.83,28.27,683.27,1.054,108.22,1.068,0.941,1.054,218.996,23700.637,2429.78,3240465.14,15838.03
225.16,1,0.193,1.27,0.993,3,258.43,5,20,415,399.91,61.01,67.95,53.53,630.94,1.098,97.66,1.074,1.056,1.073,53.44,5218.699,431.22,616064.03,2736.17
268.37,3,0.116,1.225,0.953,4,282.2,4,20,415,355.72,69.53,55.66,41.24,658.43,1.045,133.53,1.034,0.939,1.071,122.914,16412.276,991.82,1883448.91,7018.13
155.85,2,0.182,0.914,0.925,3,164.44,2,25,500,416.45,64.82,58.91,45.1,585.67,1.224,101.61,1.08,0.998,0.982,71.459,7043.352,792.85,1136433.96,7291.7
105.71,1,0.137,0.877,0.861,2,130.34,4,20,415,354.2,46.79,45.79,55.51,897.82,1.177,130.06,1.053,1.03,1.02,17.172,2233.47,138.56,262624.21,2484.41
426.67,1,0.177,1.24,0.959,4,202.08,5,25,415,411.3,53.87,51.25,54.81,717.45,1.242,109.61,1.056,1.004,0.883,95.47,10464.949,1059.25,1517610.91,3556.86
338.82,5,0.1,0.822,0.836,2,170.67,4,20,415,457.08,64.29,46.96,42.91,557.72,1.177,127.83,1.069,0.924,0.904,226.332,28933.118,1826.31,4361664.07,12873.15
263.7,5,0.102,1.083,1.042,2,186.1,3,20,500,400.51,72.09,49.56,36.77,659.38,1.115,109.9,1.055,0.982,0.895,172.968,18438.157,1395.71,2903223.08,11009.49
398.57,5,0.121,0.833,1.279,4,248.15,5,25,415,321.76,46.57,55.71,41.15,700.21,1.121,127.08,1.035,0.971,1.137,304.411,38685.678,3377.47,4678895.95,11739.16
461.82,3,0.158,0.879,1.208,2,190.94,2,25,415,428.37,67.99,45.54,48.56,509.57,1.227,101.82,1.045,1.069,1.057,252.946,25754.822,2806.46,3932515.64,8515.24
150.77,2,0.194,0.987,1.272,1,126.98,3,25,500,319.93,48.1,58.89,38.51,751.34,1.117,101.74,1.05,1.042,0.921,70.8,6987.129,785.53,936755.81,6213.27
195.31,5,0.181,1.038,0.936,2,133.83,3,20,415,397.43,73.82,60.17,39.35,645.67,1.076,126.94,1.036,1.053,1.037,205.341,26065.256,1656.93,3087324.32,15807.33
470.44,1,0.118,1.135,1.009,4,222.62,5,25,415,396.2,65.13,50.15,37.49,539.84,1.008,130.1,1.044,1.075,0.942,64.235,8357.195,712.69,1290393.24,2742.92
294.82,3,0.119,1.3,1.165,1,159.56,5,25,415,284.93,58.64,65.84,51.2,637.72,1.2,107.15,1.032,1.046,1.091,126.552,13559.476,1404.11,1743336.29,5913.23
176.56,4,0.189,1.204,0.967,2,161.13,2,30,415,424.45,51.82,56.07,42.46,518.22,1.17,127.2,1.044,0.989,1.14,168.448,21425.905,2300.25,2624577.73,14865.27
121.2,1,0.174,1.155,0.864,1,119.49,3,20,500,403.77,58.97,55.94,42.31,762.89,1.226,100.05,1.075,0.923,1.001,29.128,2826.95,235.04,418834.12,3455.73
494.92,2,0.158,0.853,1.056,3,175.28,3,25,415,417.42,74.23,44.81,49.68,629.43,1.271,100.04,1.079,0.967,1.08,203.829,20391.666,2261.51,3747711.87,7572.36
290.76,2,0.105,1.268,1.279,2,218.84,4,25,415,396.58,60.75,71.92,55.94,703.11,1.186,109.83,1.043,1.053,0.924,74.211,8150.948,823.38,1335295.59,4592.42
438.02,5,0.115,0.96,1.184,2,150.74,5,20,415,376.07,61.65,59.34,44.29,509.19,1.269,142.92,1.053,0.92,1.087,342.475,48946.84,2763.49,6130834.78,13996.83
336.2,5,0.157,0.941,0.949,1,138.81,4,25,415,397.96,66.26,56.4,47.37,527.76,1.244,117.23,1.066,1.03,0.996,319.798,37489.325,3548.19,5524294.23,16431.65
249.65,2,0.185,1.074,0.948,3,164.2,2,20,500,429.64,53.45,49.85,32.26,767.14,1.127,96.06,1.045,1.08,1.067,105.509,9831.442,851.37,1280637.59,5129.76
436.23,5,0.165,0.885,0.817,3,166.65,3,25,415,383.83,51.97,40.57,54.01,721.37,1.012,124.81,1.036,1.07,0.928,401.869,50155.49,4458.78,6453941.34,14794.67
210.43,4,0.149,0.961,1.142,4,271.68,2,30,415,413.83,54.19,60.15,48.41,604.23,0.962,121.37,1.075,0.926,1.088,173.422,21047.582,2368.17,2814688.46,13375.97
395.81,3,0.192,0.831,0.818,2,187.17,4,25,415,368.38,58.93,55.81,36.26,705.96,1.199,133.3,1.031,1.001,1.029,269.296,35897.274,2987.87,4223737.62,10671.06
254.04,2,0.105,1.224,1.047,1,140.81,3,20,500,348.49,57.89,55.18,42.05,668.01,1.186,110.92,1.034,0.921,1.056,72.221,7770.16,582.77,1198956.82,4719.61
453.83,2,0.114,1.099,1.231,4,223.1,2,25,500,415.34,56.86,63.06,40.87,666.87,1.193,113.97,1.067,0.936,0.95,142.727,15778.079,1583.57,2563532.34,5648.72
276.45,3,0.123,0.982,1.111,3,258.49,5,25,415,357.38,65.39,53.66,55.19,622.96,1.229,104.23,1.069,0.965,1.136,134.322,14000.109,1490.31,2217789.72,8022.45
196.62,1,0.101,1.178,1.091,3,215.84,5,20,500,445.09,73.04,52.26,48.03,721.08,1.075,125.88,1.044,1.064,1.068,23.476,2866.485,189.43,445111.31,2263.84
376.58,3,0.144,1.233,0.867,1,158.17,2,25,415,431.49,71.52,49.11,45.87,647.34,0.95,116.65,1.044,1.084,1.057,187.481,21868.719,2080.12,3478682.11,9237.44
437.06,1,0.139,0.994,0.849,2,144.78,4,25,415,427.53,61.18,46.72,41.85,552.48,1.258,100.54,1.037,1.02,1.103,72.173,7256.401,800.76,1231520.66,2817.74
432.96,1,0.114,0.929,1.057,4,240.51,2,30,415,284.92,63.21,71.51,49.5,621.68,0.927,104.14,1.042,0.928,1.139,65.221,6791.969,890.62,1054471.94,2435.51
265.28,1,0.106,1.091,1.282,4,233.57,4,20,500,421.77,59.01,62.66,43.0,560.92,1.11,105.39,1.036,1.032,0.885,34.125,3488.552,275.36,511684.89,1928.83
248.08,4,0.108,1.181,0.966,2,197.96,5,25,415,419.51,76.13,47.04,35.91,535.71,1.16,125.06,1.063,1.063,1.146,128.174,16029.938,1422.11,2195420.13,8849.75
117.18,3,0.145,1.181,1.015,4,274.76,2,20,415,418.49,62.4,45.49,34.13,771.55,0.962,96.46,1.045,1.028,0.923,62.326,6011.999,502.92,836601.85,7139.34
67.66,5,0.172,1.042,0.974,4,248.65,5,20,415,445.49,73.58,61.59,44.93,553.27,1.261,147.09,1.059,0.957,1.147,76.125,11197.36,614.26,1221402.14,18052.19
469.18,4,0.114,1.227,0.934,2,131.45,5,25,415,375.56,63.08,60.6,50.49,645.96,0.987,123.06,1.056,0.918,0.983,295.431,36355.055,3277.84,5777830.37,12314.63
376.35,1,0.174,0.807,0.887,4,217.52,5,25,415,428.41,67.93,45.02,51.21,735.45,1.298,133.63,1.047,1.096,0.994,72.109,9636.065,800.05,1417762.69,3767.1
309.55,2,0.117,0.895,1.094,2,134.52,5,20,415,444.62,64.55,71.83,53.17,680.07,1.01,112.78,1.043,0.95,1.149,93.517,10546.784,754.6,1476743.35,4770.59
312.53,2,0.158,1.285,0.817,1,150.82,2,30,500,380.17,61.86,62.63,43.35,516.25,1.225,109.02,1.056,1.084,1.094,114.533,12111.537,1564.0,1747765.65,5592.26
60.51,5,0.132,1.069,1.04,3,188.98,5,20,415,361.41,59.05,50.64,36.67,812.71,0.904,153.76,1.064,0.905,0.913,55.857,8588.66,450.72,898349.55,14847.26
254.19,3,0.112,0.908,0.983,3,171.79,2,25,415,339.45,58.51,59.92,48.31,581.57,1.063,102.27,1.038,0.948,1.06,108.892,11136.362,1208.16,1668185.51,6562.8
464.6,3,0.175,1.187,0.895,1,121.25,4,20,415,331.45,60.43,55.35,38.89,744.32,1.015,126.13,1.064,1.087,1.04,283.812,35796.266,2290.12,4348638.07,9360.04
257.92,5,0.15,1.059,1.076,4,207.73,2,30,500,378.18,61.7,65.64,51.75,702.47,0.96,115.31,1.062,0.971,0.941,251.6,28142.129,3435.73,4376405.94,16968.29
311.37,3,0.148,0.816,1.013,1,158.73,2,25,500,439.76,79.19,49.91,47.38,585.9,1.064,97.8,1.039,0.97,0.962,172.334,16348.887,1912.07,2771053.41,8899.67
219.7,4,0.147,0.886,0.812,4,231.5,4,20,415,359.31,40.0,56.92,43.74,448.42,1.098,120.27,1.062,0.953,0.921,166.189,19987.362,1341.01,1818199.61,8276.0
97.27,3,0.124,0.925,1.096,1,155.98,3,30,500,356.22,60.39,59.08,48.34,827.84,1.15,119.5,1.064,1.074,0.852,42.326,4906.377,577.99,783381.89,8054.06
195.61,3,0.138,1.033,0.948,4,268.27,3,30,415,285.35,59.58,62.81,50.49,400.0,1.204,100.7,1.045,1.014,1.139,98.046,9873.094,1338.87,1308449.86,6689.21
88.29,4,0.159,1.197,1.087,4,256.61,4,25,415,380.93,45.48,54.0,45.73,656.48,1.215,131.02,1.061,1.039,1.081,69.139,9058.55,767.1,1029602.63,11661.59
310.36,2,0.101,1.009,1.205,4,247.55,4,20,415,421.93,64.47,69.35,49.91,747.04,1.276,114.28,1.05,1.088,0.864,72.599,8296.49,585.81,1345290.09,4334.6
491.79,5,0.199,0.995,0.833,3,228.74,5,30,500,386.86,52.4,57.7,49.43,409.73,1.167,141.99,1.043,1.071,0.942,556.168,76603.009,7594.76,9854761.98,20038.58
213.21,2,0.109,1.253,1.099,2,191.76,4,20,500,437.26,60.08,53.86,51.53,662.29,0.98,126.79,1.037,0.989,1.012,59.013,7257.888,476.19,957353.87,4490.1
436.3,5,0.194,1.006,0.917,3,161.05,4,30,415,399.36,58.47,53.22,41.79,557.02,1.265,135.85,1.064,1.092,1.109,484.07,65759.88,6610.23,9139936.91,20948.85
69.25,1,0.198,1.127,1.01,2,211.7,3,25,415,358.82,58.8,63.16,39.5,575.2,1.186,112.96,1.063,1.052,1.04,16.543,1868.649,183.54,239896.33,3464.14
277.26,3,0.197,1.227,0.873,4,236.8,2,25,415,353.03,54.92,52.37,50.01,747.58,1.208,96.41,1.077,1.046,0.946,201.386,19414.978,2234.39,2645404.79,9541.3
344.51,3,0.191,1.127,1.197,3,195.33,2,25,415,435.63,62.2,63.66,53.05,838.81,1.104,98.47,1.06,0.932,0.861,271.041,26689.615,3007.23,4471808.62,12980.17
193.65,5,0.163,1.232,0.823,2,166.59,2,30,415,413.01,52.16,67.26,45.34,648.65,0.925,136.13,1.075,1.068,1.12,188.543,25666.834,2574.65,3130936.85,16167.84
94.26,2,0.129,1.267,0.908,3,228.53,5,25,500,337.86,50.31,47.17,49.35,714.58,1.096,111.4,1.053,0.933,0.947,32.795,3543.876,363.87,483107.31,5125.47
148.06,3,0.137,0.857,1.138,3,197.6,3,20,415,326.63,60.35,58.82,47.73,638.93,1.125,105.16,1.063,1.052,1.045,72.306,7603.521,583.45,911362.59,6155.56
81.5,1,0.185,0.985,1.141,1,122.43,2,25,415,378.05,67.23,57.95,42.53,754.74,0.988,91.23,1.063,1.046,1.081,18.242,1664.245,202.4,287081.12,3522.28
449.7,1,0.12,1.111,1.213,1,103.81,4,20,415,407.38,70.12,50.59,50.32,618.77,1.168,117.27,1.036,1.068,1.134,63.322,7425.748,510.96,1146599.75,2549.71
52.06,3,0.11,1.133,1.248,1,125.0,4,20,415,425.33,60.58,43.33,48.46,780.66,0.91,119.19,1.052,1.054,1.063,20.878,2488.468,168.47,328575.07,6311.24
81.22,1,0.114,1.053,0.921,1,108.97,2,25,500,315.74,68.12,66.83,48.22,682.54,1.259,117.82,1.069,0.966,0.965,12.034,1375.34,133.52,242026.39,2979.98
408.06,2,0.192,1.231,1.265,2,207.0,5,25,500,404.47,61.47,63.22,51.18,631.38,1.256,130.99,1.057,0.976,1.111,207.529,26368.653,2302.55,3273011.46,8020.9
184.88,5,0.147,1.11,1.211,3,193.45,5,25,415,380.86,83.48,62.71,48.67,637.2,1.089,123.55,1.073,1.1,0.977,160.028,19770.956,1775.53,3017962.5,16324.03
214.14,2,0.193,1.274,1.143,3,256.09,2,20,415,369.36,71.37,50.78,37.03,654.91,0.936,104.95,1.042,0.912,1.018,115.192,12089.027,929.5,1436313.64,6707.3
188.01,5,0.159,0.935,0.892,2,191.61,2,25,500,358.81,54.34,53.93,57.09,625.12,1.057,116.05,1.045,1.066,0.987,170.917,19239.458,1896.34,2404300.74,12788.21
450.82,3,0.143,1.247,1.165,4,275.62,3,30,415,370.2,53.59,34.49,38.94,665.19,1.232,98.33,1.066,0.925,1.144,271.149,26662.469,3702.68,4337242.18,9620.83
467.93,5,0.127,0.856,1.188,3,254.78,4,30,415,354.38,55.32,52.56,47.27,767.21,1.067,136.07,1.059,0.926,1.111,400.765,54530.695,5472.65,7731915.62,16523.57
467.97,2,0.134,1.283,1.153,1,114.34,4,30,415,424.85,69.62,56.78,38.62,703.04,1.029,130.3,1.034,1.045,0.874,151.298,19714.123,2066.05,3583835.97,7658.32
188.3,4,0.133,1.224,0.906,4,256.73,2,25,500,353.72,76.6,63.75,50.99,558.52,1.11,119.53,1.042,0.961,1.07,129.841,15053.749,1440.6,2218686.12,11782.44
140.17,1,0.128,0.903,1.031,3,164.07,2,20,415,349.93,65.25,46.15,48.15,672.28,0.985,106.14,1.032,1.091,1.082,19.91,2113.305,160.66,271281.3,1935.37
422.6,4,0.115,1.047,1.111,3,170.08,2,25,500,397.25,76.67,57.28,41.77,689.21,1.289,115.98,1.072,1.007,1.035,247.615,27857.186,2747.32,5019559.24,11877.85
432.03,2,0.116,1.051,0.851,3,196.66,4,30,415,376.98,66.25,57.39,40.52,586.14,1.167,109.69,1.072,0.997,1.089,126.682,13895.245,1729.91,2125870.28,4920.61
209.42,5,0.154,1.154,1.145,3,228.25,4,30,415,347.58,67.89,58.31,38.25,578.33,1.219,111.76,1.049,0.95,0.979,215.295,24061.398,2939.97,3645585.83,17407.68
310.1,3,0.17,1.169,0.833,1,149.9,5,20,415,401.35,68.27,53.3,49.96,620.67,1.202,122.7,1.075,1.016,1.084,197.79,24268.176,1596.0,3069770.8,9899.21
225.83,3,0.102,0.864,1.033,3,185.64,5,25,500,379.07,77.85,49.75,48.4,638.6,1.245,120.42,1.043,0.985,0.922,85.613,10000.094,949.88,1665661.05,7375.81
56.74,4,0.136,0.924,1.077,4,274.91,2,30,415,341.91,40.19,50.77,43.95,713.29,1.037,104.68,1.054,0.979,0.908,39.064,4089.115,533.44,568609.15,10021.18
234.8,3,0.129,0.854,1.158,2,150.19,5,20,415,375.61,56.0,59.72,46.67,683.73,1.28,115.86,1.061,0.956,0.968,118.653,13747.251,957.43,1736348.97,7394.88
452.72,3,0.159,0.861,1.295,3,160.61,4,25,415,378.9,77.8,59.1,46.19,654.8,1.009,90.93,1.042,1.079,0.859,247.54,22508.31,2746.49,4300715.53,9499.66
436.07,5,0.169,1.127,1.038,1,103.26,5,25,415,397.18,67.53,45.75,55.15,744.88,0.944,136.1,1.063,1.094,0.96,427.472,58176.906,4742.84,8204370.43,18814.31
96.7,4,0.173,1.034,1.023,2,182.7,3,20,415,428.63,57.58,47.18,43.87,733.23,1.297,117.92,1.036,1.036,0.877,79.059,9322.563,637.94,1201063.32,12420.25
188.13,1,0.155,1.078,0.978,2,174.74,4,20,500,399.51,65.59,52.12,44.69,614.44,0.91,115.09,1.05,0.919,0.926,39.631,4424.282,319.79,523838.6,2784.43
83.24,5,0.132,1.187,1.128,4,227.04,5,20,500,351.78,76.69,60.03,46.4,663.32,1.004,100.58,1.055,1.093,0.992,63.873,6231.641,515.41,823641.08,9895.24
184.12,3,0.194,0.985,1.189,1,100.39,2,20,500,445.47,52.86,66.02,50.13,578.2,1.198,95.37,1.039,0.974,1.075,136.3,12609.126,1099.83,1583047.41,8598.1
183.96,1,0.129,1.189,1.204,2,181.12,2,20,415,384.36,61.45,59.25,47.69,742.7,1.138,101.22,1.063,0.942,1.13,32.621,3301.809,263.22,440207.27,2392.99
73.93,2,0.144,0.981,0.835,2,203.58,2,25,415,308.63,60.27,51.02,43.9,710.51,1.237,107.3,1.05,1.061,0.979,24.463,2624.982,271.42,373981.72,5058.48
